8.912127905463707478e+00,7.856255881104041805e+01,7.359423955412185414e-01
1.427573680161583525e+01,7.141635078181863605e+01,8.494919595173355820e-01
1.240534427968821873e+01,6.732404249036373756e+01,7.733889737723551594e-01
1.523968994844656066e+01,7.929752314240417377e+01,7.851040473827581856e-01
1.376871249037410827e+01,6.961406666611092930e+01,7.336032018899310003e-01
1.607389019524169882e+01,7.372494055549751124e+01,7.426640462091572692e-01
3.907967968360790856e+00,7.802538537218228498e+01,8.340487524758612992e-01
1.376890221341580656e+01,7.666067001664981717e+01,8.448645802716072684e-01
1.311838880883545855e+01,7.842310259330089650e+01,7.447403079786394375e-01
8.184039343722846027e+00,6.981184988286375415e+01,7.235065703704212092e-01
1.579507463954447566e+01,7.516476286863039036e+01,7.894712127373129107e-01
9.509192561470335647e+00,6.711514203465135608e+01,7.864279701502090436e-01
1.184429760387845754e+00,7.433517850060283649e+01,8.797133363205427159e-01
4.848824803191208455e-01,7.156558893643577335e+01,7.181810780566940666e-01
1.053229527920788122e+01,7.317419115333733259e+01,8.731458851706241919e-01
1.936701548426240649e+00,7.447997001492734626e+01,8.770008417158330349e-01
1.359046965916728666e+01,7.274989800113451111e+01,7.174878769977817150e-01
1.177186718340121629e+01,7.586277407937603812e+01,8.598823182499550910e-01
5.802293290236660184e+00,7.364572563588865250e+01,7.202695525167623902e-01
1.226089406176521379e+01,6.913656968448775331e+01,8.332135841139955978e-01
8.806534792004349299e+00,7.788776680498919802e+01,8.333304056666852588e-01
1.424604012148361853e+01,6.972128569811846432e+01,7.833784338349800702e-01
1.451557566636866170e+01,7.523022968781113207e+01,8.316996388197345214e-01
3.715967179757892591e+00,6.758402368045150865e+01,8.453562287892701921e-01
6.130498381913128014e+00,7.558666003857281623e+01,8.646358102838509474e-01
1.451338869508759721e+01,7.836999398058500788e+01,7.923462394510552009e-01
1.284402669181270795e+01,7.016445000034052271e+01,8.366530368381217553e-01
1.483713129498921646e+01,7.153392731809442751e+01,7.992373082083834568e-01
1.466319456614997074e+00,7.661809018372687774e+01,7.568448154869058531e-01
1.135791036038079227e+01,7.560250980298363288e+01,7.281488241219288282e-01
1.461606870354709287e+01,7.799866557386809518e+01,7.967807925328895813e-01
1.453699684240934253e+01,7.087502969940112507e+01,7.998666432551589933e-01
1.148923185475866582e+00,7.762065889965322185e+01,8.048669134927892710e-01
7.595141673706584662e+00,7.603084243780153884e+01,7.380881182133688378e-01
1.648763264601297851e-01,6.953945387894928842e+01,8.677957240021588747e-01
